comment,id
"ውድ የዘ-ሐበሻ ቤተሰቦች::
የወንድሞቻችን ጋዜጠኛ ሳዲአ አህመድን እና የአብዱረሂምአህመድን ሃገር ቤት መሄድ አልዘገባችሁም በሚል ወቀሳዎች ደርሰውናል:: ለቤተሰቦቻችን መግለጽ የምንፈልገው ወንድሞቻችን ወደ ሃገራቸው መመለሳቸውን ከአንድም ሶስት ጊዜ በተለያዩ ጊዜያት ዘግበናል:: እንደምሳሌም የቅዳሜውን ዜና መመልከት ይቻላል::",yt_1
ቡና ተሰረቀ? ምን ይገርማል መርከብ እና አይሮፕላን በተስረቀበት ምድር,yt_1
ህውሀት የሚለውን ስም መስማት እራሱ እንዴት እንዳስጠላኝ,yt_1
"ስማቸው ገብረ እግዚአብሔር
ስራቸው ፀረ እግዚአብሔር   ያልነው በምክንያት ነበር
ሳይማሩ የመሩ_ሰርቀው የከበሩ_ዘርፈው የማያፍሩ_ሲገሉ የኖሩ_ ወንድ የደፈሩ_ሀይማኖትን ብሔርን ጎሳን ሲያጋጩ የኖሩ _ከሰው ሳይሆን ከሰይጣን የተደመሩ እነዚ ወያኔ ትግሬዎች ናቸው 👹👺👈  ይሄው ፎቶዋቸው ከፈለጋቹ                                        #ቁልቋል ቂጥ እንጂ አይምሮ እንደሚደፍን አላውቅም ነበር 😛",yt_1
ወያኔ የአዲስ  አበባ ወጣቶች ለማስር ሲያሳብ ሁሌም ስልፉ እውቅና የለውም እያለ ያስራቸዋል,yt_1
ጋኔሉን መለስ ዜናዊ ከዚች ምድር ያሶገደልን አምላክ ክብር ምስጋና ይግባው   ሞትና ሽንፈት ለህውሃትና ተላላኪ ባንዳዎች ድል ለኢትዮጺያዊያን ይሁን🙏💚💛❤,yt_1
የኢትዮጵያ ሕዝብ  በተባበረ ክንድ ለአንዴና ለመጨረሻ ግዜ ሰው በላው ህወሀት ወያኔን ከኢትዮጵያ ምድር ማጥፋት አለባቸው ፈጣሪ ህወሀት ወያኔን ከገፅ ምድር ያጥፋልን አሜን,yt_1
እውነት ለመናገር አዲስ አበባን የሚያንቀጠቅጥ ሰልፍ አምሮኛል የአብዬን ፍቅር በጬኸት ከውስጤ ማውጣት እፈልጋለሁ ! ፍቅሩ ሊወጣልኝ አልቻለም የውዴ !!! 💖💖💖💖💖💖💖💖,yt_1
አረመኔው ወያኔ መቼም ይቅር አንለውም 😢😢 በወንድሞቻችን ላይ ያረጉትን አንረሳም መቼም 😭😭😭  ሰልፍ ግድ ነው  ሸገር  ወደፊት ከዓበይ ጋር 💚💛❤👈,yt_1
አማሮችዬ አብን እንደግፍ ብቸኛ መዳኛችን ነው ለአማራ በቁመቱና በወርዱ  ልክ የተሰራልን #አብን ነው ።,yt_1
የትግራይ መሬት ዶፍ ይውረድብሽ ልጂ አይውጣልሽ ልጆችሽ በፍርሀት ይራዱ የሚገቡበት ይጡ ።,yt_1
ምነው ትግሬ ባልሆንኩ እሚባልበት ጊዜ እየደረሰ ይመስለኛል,yt_1
"ወያኔ ጌታ ከምድረ ገፆ ያጥፍችሁ 😈
 አባ እንኳን ደስ አሎት 
 አብይ ኢሄ ተወልደ ሚባል ሰውዬ ለፍርድ አቅርብል ወያኔ ሚባል ማየት አንፈልግም ብናውንም ቢሆን እየሰረረቁ ያሉት ወያኔዌች ናቸው በቃን ማለባበስ",yt_1
አገራችንን ሰላም ያርግልን,yt_1
ሄኖክ  ምርጥ  ኢትዮጵያዊ  ስወድህ,yt_1
"Please don't do it until you get permission, otherwise they will attack you as usual",yt_1
ሞት ለወያኔ ለደብረ ሰይጣኑ,yt_1
ትግሪ የሚባል እንደ ንፉስ ብን እድርጎ እግዚአብሄር ያጥፉልን የተረገሙ ስይጣን ህዝብ ናችው  እዛው ወደ ቅማላቸው ይመለሱ ክብር እይወድላቸውም እባብ ናቸው።,yt_1
"ትግሬዎች  ዘር አይውጣላችሁ😭😭😢
እየየ ይሁን ኑሯችሁ🙏",yt_1
በጠራራ ፀሐይ ህዝባችንን የበሉትን የቀን ጅቦቹን በአስቸኳይ ለፍርድ ይቅረቡ፣ምት ለወያኔ፣,yt_1
ፖሊሶች እጃቸው ይኖራል እሽ ያላሉ,yt_1
እና ለሰልፍ ብለን መቀሌ እንሂድ እዴ ሸገር ብትፈቅጅ ይሻልሻል,yt_1
ህዋት የሚለው ድርጅት ይፍረስ,yt_1
ኮንደሚኒየም ፡የሚሰርቁ ፡ለቡና ፡ይገርማችኋል,yt_1
ስለ  አንበጣ  ቆርጣሚዎቹ  ወደር  የለሽ  አረመኔያዊ  ዘግናኝ  ድርጊት  ምንም  አይነት  ቃል  አይገልፀውም,yt_1
ወያኔ  ትግሬ  ቆሻሻ,yt_1
ስላማዊ ስልፍ ማድርግ እግምንግስታዊ መብት ነው ልምምድ ነው ፖሊስ የሚክልክልው በየክልሉ ስልፍ እይትድርግ ነው አዲስ አባባ ላይ ምን አያችሁ?,yt_1
"አማርችዬአብን
አብይንእንዳግፋ🙇🙏💜❤💜👈አብይ👈💗❤💟",yt_1
ኢቶጵያእ ትቅደም,yt_1
ወይኔኔኔኔ አሁንም የአ.አ ህዝብ ላይ አሻጥር አለ ሰልፉን ግን እናፍቃለው,yt_1
እንኩንም ልጃቸው ተገኘላቸው በጣም ደስ ይላል,yt_1
አብኖች በርቱልን ለአማራ ህዝብ ህልውና ናችሁ,yt_1
ደስይላል  እንኮን ተገናኙ    አባትናልጅ,yt_1
"Ethiopian airlines and Tewelde lebaw must be investigated, especially the relationship he has with the Assosa tigrean terrorist.🤔",yt_1
"አሁንስ   ትግሬ    የሚባል   አረመኔ  አውሪውች 
መስማትና ማየት   አስጣላኝ 
ዘሀ በሻ እናመስግናለን",yt_1
የፈለጋቹትን      ሥረቁ   አብይን  ብቻ  ሠርቃቹ    ጉድ  እንዳታረጉን,yt_1
ህዉሃት ምድርሽ በደም ይታጠብ,yt_1
"ሰልፋን ሁሉም ኢትዮጵያዊ ሊያካሂድ ይገባል ከግብረ ሰዶማዉያን ዉጭ!።
ሀይሌ መልስህ ሃሃሃ ደስ ሲል ግን ሀይሌ ለኢትዮ የዋለዉ ዉለታ ተረስቶ በሆነ ባልሆነዉ እየተሰደበ እየተተቸ ነዉ ይሄ ሁሉ ነገር በብሔሩ ነዉ። ሀይላችን ባዲራችንን ከፍ አድርገህ ሀገርክን ያስጠራህ💚💛❤",yt_1
Coffee Lebnet this has to be tigrean Leboch job!,yt_1
ውይ እግዛብሄር ይመስግን እንኮን ልጅኑ አገየ .,yt_1
አቶ ዮሐንስ እንካን ን ደሰአለውት በእወነት የእርሱንም የሊሎችን ወንድሞቼ ስቃይ ከአንደበታችሁ ስሰማ በእውነት አልቅሻለው ፍርዱን ለእግዚአብሒር  ዘ/ሀበሻ እናመሰግናለን,yt_1
አላህ ምን ይሳነዋል አልሀምዱሊላህ ልጅን ካባት ጨመረ ሽኩር ለክ ያረብ,yt_1
"እኔ የሰሜን ሸዋ ልጅ ነኝ ማለትም በዘመኑ ፋሽን ( 50% አማራ 50% ኦሮሞ ነኝ  በጣም የምወዳት አንዲት የትግራይ ተወላጅ ልጅ ያለችውን ስሙማ   ብገርማችሁም ባይገርማችሁም #""የፍትህ ሰቆቃ"" በሚል  የቀረበውና ህዝቡን ጉድ ያሰኘውን   #ዘጋቢ ወይም ዶክመተሪ ፍልም   እነርሱ በፍጹም እንደዚ አይፈጽሙም #የተቀነባበር #ድራማ ነው ብላ እርፍ ።",yt_1
Tplf my Jesus revenge you,yt_1
ትግሬ ዘረሽ ይጥፍ,yt_1
Ethiopian Airlines will never sale share for those dump all!!!😡😡😡,yt_1
የቡናው መሰርቅ ምን  ይገርማል የሰው ሂወት የሚሰርቅ እና  አዉሮፕላን እና መርከብ የሚሰረቅበት ሃገር የቡናው ምን ሊስገርመን,yt_1
